Arquivo;Capítulo;Nome do Capítulo;Total de Chunks;Total de Páginas Úteis;Páginas Lidas (Min-Max);Páginas Ignoradas (Buracos);Total de Seções Únicas;Tipos Identificados;Chunks com Alertas
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present;202;31;5 até 35;Nenhuma;55;CompositeElement;13
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;Globalization, Extractivism, and Social Exclusion: Threats and Opportunities to Amazon Governance in Brazil;180;31;5 até 35;Nenhuma;31;CompositeElement;12
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;Globalization, Extractivism, and Social Exclusion: Country-Specific Manifestations;263;42;5 até 48;14, 25;68;TableChunk, CompositeElement;17
Part_II_Cap_19_Drivers and Ecological Impacts of Deforestation and Forest Degradation.json;19;Drivers and Ecological Impacts of Deforestation and Forest Degradation;203;34;5 até 42;16, 20, 23, 26;45;CompositeElement;2
Part_II_Cap_20_Drivers and Impacts of Changes in Aquatic Ecosystems.json;20;Drivers and Impacts of Changes in Aquatic Ecosystems;215;38;5 até 44;18, 29;40;CompositeElement;2
Part_II_Cap_21_Human Well-Being and Health Impacts of the Degradation of Terrestrial and Aquatic Ecosystems.json;21;Human Well-Being and Health Impacts of the Degradation of Terrestrial and Aquatic Ecosystems;133;21;5 até 26;14;22;CompositeElement;1
Part_II_Cap_22_Long-Term Variability, Extremes, and Changes in Temperature and Hydro Meteorology.json;22;Long-Term Variability, Extremes, and Changes in Temperature and Hydro Meteorology;175;32;4 até 35;Nenhuma;31;TableChunk, CompositeElement;0
Part_II_Cap_23_Impacts of Deforestation and Climate Change on Biodiversity, Ecological Processes, and Environmental Adaptation.json;23;Impacts of Deforestation and Climate Change on Biodiversity, Ecological Processes, and Environmental Adaptation;203;32;4 até 35;Nenhuma;39;CompositeElement;3
Part_II_Cap_24_Resilience of the Amazon Forest to Global Changes Assessing the Risk of Tipping Points.json;24;Resilience of the Amazon Forest to Global Changes: Assessing the Risk of Tipping Points;179;29;5 até 33;Nenhuma;26;CompositeElement;1
Part_I_Cap_01_Cross Chapter 1 The Amazon Carbon Budget.json;1;Geology and Geodiversity of the Amazon: Three Billion Years of History;59;8;4 até 11;Nenhuma;25;TableChunk, CompositeElement;0
Part_I_Cap_01_Geology and Geodiversity of the Amazon Three Billion Years of History.json;1;Geology and Geodiversity of the Amazon: Three Billion Years of History;243;37;4 até 40;Nenhuma;75;CompositeElement;1
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;Evolution of Amazonian Biodiversity;19;5;4 até 8;Nenhuma;1;CompositeElement;11
Part_I_Cap_02_Evolution of Amazonian Biodiversity.json;2;Evolution of Amazonian Biodiversity;229;40;5 até 44;Nenhuma;30;CompositeElement;2
Part_I_Cap_03_Biological Diversity and Ecological Networks in the Amazon.json;3;Biological Diversity and Ecological Networks in the Amazon;255;49;4 até 52;Nenhuma;38;TableChunk, CompositeElement;1
Part_I_Cap_04_Amazonian Ecosystems and Their Ecological Functions.json;4;Amazonian Ecosystems and Their Ecological Functions;185;30;5 até 35;8;31;TableChunk, CompositeElement;4
Part_I_Cap_05_The Physical Hydroclimate System of the Amazon.json;5;The Physical Hydroclimate System of the Amazon;184;29;5 até 33;Nenhuma;40;CompositeElement;0
Part_I_Cap_06_Biogeochemical Cycles in the Amazon.json;6;Biogeochemical Cycles in the Amazon;264;33;5 até 39;16, 28;88;CompositeElement;4
Part_I_Cap_07_Biogeophysical Cycles Water Recycling, Climate Regulation.json;7;Biogeophysical Cycles: Water Recycling, Climate Regulation;117;19;5 até 24;7;24;TableChunk, CompositeElement;4
Part_I_Cap_08_Peoples of the Amazon Before European Colonization.json;8;Peoples of the Amazon Before European Colonization;192;38;4 até 42;26;32;TableChunk, CompositeElement;1
Part_I_Cap_09_Peoples of the Amazon and European Colonization (16th-18th Centuries).json;9;Peoples of the Amazon and European Colonization (16th-18th Centuries);188;31;5 até 38;8, 11, 22;31;CompositeElement;3
Part_I_Cap_10_Critical Interconnections Between the Cultural and Biological Diversity of Amazonian Peoples and Ecosystems.json;10;Critical Interconnections Between the Cultural and Biological Diversity of Amazonian Peoples and Ecosystems;183;33;4 até 36;Nenhuma;28;TableChunk, CompositeElement;0
Part_I_Cap_11_Economic Drivers in the Amazon from the 19th Century to the 1970s.json;11;Economic Drivers in the Amazon from the 19th Century to the 1970s;148;24;4 até 27;Nenhuma;18;CompositeElement;2
Part_I_Cap_12_Languages of the Amazon Dimensions of Diversity.json;12;Languages of the Amazon: Dimensions of Diversity;128;22;4 até 25;Nenhuma;24;CompositeElement;0
Part_I_Cap_13_African Presence in the Amazon A Glance.json;13;African Presence in the Amazon: A Glance;163;27;4 até 32;24, 27;34;CompositeElement;2
