Arquivo;Capítulo;Página;Seção Pai;Tipo Elemento;Tamanho Texto;Motivo do Alerta;Prévia do Texto
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Peru 66 203,916 11.2;CompositeElement;25;Texto muito curto (Possível lixo de OCR);50.7 Peru 66 203,916 11.2
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Venezuela 6 23,838 1.3;CompositeElement;27;Texto muito curto (Possível lixo de OCR);21.1 Venezuela 6 23,838 1.3
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Indirect use 12.6 22.3;CompositeElement;27;Texto muito curto (Possível lixo de OCR);59.6 Indirect use 12.6 22.3
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Departmental 11.8 28.6;CompositeElement;27;Texto muito curto (Possível lixo de OCR);24.2 Departmental 11.8 28.6
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Indirect use 0.4 6.8;CompositeElement;25;Texto muito curto (Possível lixo de OCR);40.4 Indirect use 0.4 6.8
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;18;Indigenous Territories;CompositeElement;29;Texto muito curto (Possível lixo de OCR);16.1.2 Indigenous Territories
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;18;Amazon Basin 6.443;CompositeElement;25;Texto muito curto (Possível lixo de OCR);29.259 Amazon Basin 6.443
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;20;Ecuador 51.804 10.222;CompositeElement;29;Texto muito curto (Possível lixo de OCR);185.852 Ecuador 51.804 10.222
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;21;Existing policies for Indigenous Peoples in voluntary isolation (PIAV and PIACI, acronyms in Spanish;CompositeElement;25;Texto muito curto (Possível lixo de OCR);recognized temporarily or
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;27;Ecological and sociocultural connectivity corridors initiatives and protection figures coordination;CompositeElement;116;Densidade de espaços muito baixa (Palavras coladas?);16.2 Ecological and sociocultural connectivity corridors initiatives and protection figures coordination initiatives
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;28;Ecological and sociocultural connectivity corridors initiatives and protection figures coordination;CompositeElement;107;Densidade de espaços muito baixa (Palavras coladas?);Precedents for an Andean-Amazon connectivity regulation. Sangay-Podocarpus connectivity corridor in Ecuador
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;7;The Political Economy of the Amazon: An Overview;CompositeElement;29;Texto muito curto (Possível lixo de OCR);by 2,000%) (Bebbington 2011).
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Ecuador First Crude oil *;CompositeElement;29;Texto muito curto (Possível lixo de OCR);5.8 Ecuador First Crude oil *
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Suriname First Gold *;CompositeElement;25;Texto muito curto (Possível lixo de OCR);6.6 Suriname First Gold *
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Manufactures share in Exports (%). Source: World Bank, World Development Indicators, 2020. https://d;CompositeElement;162;Densidade de espaços muito baixa (Palavras coladas?);17.6 Manufactures share in Exports (%). Source: World Bank, World Development Indicators, 2020. https://databank.worldba...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;30;References;CompositeElement;911;Densidade de espaços muito baixa (Palavras coladas?);"Borges A. Confira a lista das 67 unidades de conservação que o governo federal quer reduzir. Estadão, (2019); https://su..."
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;575;Densidade de espaços muito baixa (Palavras coladas?);https://science.sciencemag.org/content/sci/369/6502/379.full.pdf?__cf_chl_jschl_tk__=13e82 a7fed8272d2c92d612c74ff158b42...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;906;Densidade de espaços muito baixa (Palavras coladas?);IEA (2021). Net Zero by 2050: A Roadmap for the Global Energy the State of Mato Grosso. Global Economic Governance IniSe...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;964;Densidade de espaços muito baixa (Palavras coladas?);IMF Prices. Primary Commodity https://www.imf.org/en/Research/commodity-prices. IMF (2020). World Economic Output, April...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;32;References;CompositeElement;809;Densidade de espaços muito baixa (Palavras coladas?);Kothari, Ashish et al (eds) (2019). Pluriverse: A Post-development Dictionary. New Delhi, Tulika Books. https://www.amaz...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;33;References;CompositeElement;826;Densidade de espaços muito baixa (Palavras coladas?);Ottoni, Guilherme, Machado Ana and Amaral, Pedro 2017. “Vulnerability to Poverty in Brazilian Municipalities in 2000 and...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;34;References;CompositeElement;947;Densidade de espaços muito baixa (Palavras coladas?);Trancoso, R. “Changing Amazon Deforestation Patterns: Urgent Need to Restore Command and Control Policies and Market Int...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;34;References;CompositeElement;891;Densidade de espaços muito baixa (Palavras coladas?);Viola, Eduardo. (1988). The ecologist movement in Brazil (1974– 1986): from environmentalism to ecopolitics. Internation...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;13;Accumulated deforestation top ten Departments in Colombia: 2015–2019. Source: Colombian Institute of;CompositeElement;171;Densidade de espaços muito baixa (Palavras coladas?);18.8 Accumulated deforestation top ten Departments in Colombia: 2015–2019. Source: Colombian Institute of Environmental ...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;17;Drivers of Deforestation and Extractivist Development Projects in the Colombian Amazon;CompositeElement;353;Densidade de espaços muito baixa (Palavras coladas?);Source: https://www.minjusticia.gov.co/programas-co/ODC/Paginas/SIDCO-departamento-municipio.aspx activities of manual e...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Rural Coast 42.4 47.7;CompositeElement;26;Texto muito curto (Possível lixo de OCR);78.4 Rural Coast 42.4 47.7
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Urban Coast 59.6 63.1;CompositeElement;26;Texto muito curto (Possível lixo de OCR);55.3 Urban Coast 59.6 63.1
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Rural Amazon 41.0 45.8;CompositeElement;27;Texto muito curto (Possível lixo de OCR);69.6 Rural Amazon 41.0 45.8
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Urban Amazon 54.1 60.5;CompositeElement;27;Texto muito curto (Possível lixo de OCR);54.3 Urban Amazon 54.1 60.5
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Non intervened 31.1 35.6;CompositeElement;29;Texto muito curto (Possível lixo de OCR);55.8 Non intervened 31.1 35.6
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Rural Coast 42.4 47.7;CompositeElement;26;Texto muito curto (Possível lixo de OCR);78.4 Rural Coast 42.4 47.7
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;27;Urban Coast 59.6 63.1;CompositeElement;26;Texto muito curto (Possível lixo de OCR);55.3 Urban Coast 59.6 63.1
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;39;References;CompositeElement;836;Densidade de espaços muito baixa (Palavras coladas?);Damonte, G. 2014. El Modelo Extractivo Peruano: Discursos, Políticas y la Reproducción de Desigualdades Sociales. https:...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;39;References;CompositeElement;212;Densidade de espaços muito baixa (Palavras coladas?);El Espectador. 2012. No permitiremos más masacreas ambientales: Santos. Published on 26 Jan 2012. Available at: https://...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;39;References;CompositeElement;972;Densidade de espaços muito baixa (Palavras coladas?);El Espectador ((2020/09/28)). https://www.elespectador.com/noticias/medio-ambiente/el-presidenteivan-duque-lanza-campana...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;39;References;CompositeElement;932;Densidade de espaços muito baixa (Palavras coladas?);https://doi.org/10.1016/j.energy.2019.06.061. De Souza Hacon, Sandra, Oliveira-da-Costa, Marcelo, De Souza Gama, Cecile....
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;39;References;CompositeElement;856;Densidade de espaços muito baixa (Palavras coladas?);Global Witness (2021): Last Line of Defense: The industries causing the climate change and attacks against Country-Speci...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;40;References;CompositeElement;212;Densidade de espaços muito baixa (Palavras coladas?);Larrea, Carlos (Coord.) (2017) ¿Está agotado el período petrolero en Ecuador? Quito, UASB-Pachamama Aliance-La Tierra. h...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;47;Log likelihood = -;CompositeElement;25;Texto muito curto (Possível lixo de OCR);0.0001 Log likelihood = -
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;47;Pseudo R2 = 0.7842;CompositeElement;27;Texto muito curto (Possível lixo de OCR);7016.191 Pseudo R2 = 0.7842
Part_II_Cap_19_Drivers and Ecological Impacts of Deforestation and Forest Degradation.json;19;12;Suriname 1 Venezuela 1;CompositeElement;25;Texto muito curto (Possível lixo de OCR);17.9 Suriname 1 Venezuela
Part_II_Cap_19_Drivers and Ecological Impacts of Deforestation and Forest Degradation.json;19;21;Railways and waterways;CompositeElement;27;Texto muito curto (Possível lixo de OCR);croplands (Fearnside 2001).
Part_II_Cap_20_Drivers and Impacts of Changes in Aquatic Ecosystems.json;20;10;Fish communities;CompositeElement;25;Texto muito curto (Possível lixo de OCR);20.2.1.2 Fish communities
Part_II_Cap_20_Drivers and Impacts of Changes in Aquatic Ecosystems.json;20;23;Agricultural chemicals;CompositeElement;29;Texto muito curto (Possível lixo de OCR);20.8.1 Agricultural chemicals
Part_II_Cap_21_Human Well-Being and Health Impacts of the Degradation of Terrestrial and Aquatic Ecosystems.json;21;19;North North East South;CompositeElement;27;Texto muito curto (Possível lixo de OCR);0.50 North North East South
Part_II_Cap_23_Impacts of Deforestation and Climate Change on Biodiversity, Ecological Processes, and Environmental Adaptation.json;23;6;Pg C y-1. In dry years, such as 2005 and 2010, the forest loses carbon to the atmosphere, increasing;CompositeElement;111;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Impacts of climate change, hydrological cycle, biodiversity, carbon cycling, precipitation, fisheries
Part_II_Cap_23_Impacts of Deforestation and Climate Change on Biodiversity, Ecological Processes, and Environmental Adaptation.json;23;13;Mg | Y 0.001 1 =0.034;CompositeElement;27;Texto muito curto (Possível lixo de OCR);0.034 Mg | Y 0.001 1 =0.034
Part_II_Cap_23_Impacts of Deforestation and Climate Change on Biodiversity, Ecological Processes, and Environmental Adaptation.json;23;15;Freshwater impacts;CompositeElement;25;Texto muito curto (Possível lixo de OCR);23.1.4 Freshwater impacts
Part_II_Cap_24_Resilience of the Amazon Forest to Global Changes Assessing the Risk of Tipping Points.json;24;6;Abstract;CompositeElement;113;Densidade de espaços muito baixa (Palavras coladas?);Keywords: tipping points, resilience, biodiversity, heterogeneity, connectivity, climate change, land-use change.
Part_I_Cap_01_Geology and Geodiversity of the Amazon Three Billion Years of History.json;1;29;Ga (Rossoni et al. 2017).;CompositeElement;29;Texto muito curto (Possível lixo de OCR);1.3 Ga (Rossoni et al. 2017).
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;6;General Content;CompositeElement;156;General Content em página avançada (Falha na extração de título?);Cross-Chapter: Legacy from the Ancestors: Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 ...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;6;General Content;CompositeElement;974;General Content em página avançada (Falha na extração de título?);In Ecuador, the Kichwa Indigenous people established the Ally Guayusa Cooperative3 to produce, harvest, process, and sel...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;6;General Content;CompositeElement;798;General Content em página avançada (Falha na extração de título?);CC2.4 The Amazon Hopes Collective The Amazon Hopes Collective14 includes scholars, public agencies, and the Kuikuro Indi...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;6;General Content;CompositeElement;908;General Content em página avançada (Falha na extração de título?);these technologies to growing problems with forest fires caused by deforestation and climate change (Figure CC2.2). The ...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;6;General Content;CompositeElement;941;General Content em página avançada (Falha na extração de título?) | Densidade de espaços muito baixa (Palavras coladas?);CC2.5 Recommendations As resource scarcity, market engagement, and climate change have come to shape Amazonian livelihoo...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;7;General Content;CompositeElement;878;General Content em página avançada (Falha na extração de título?);Cross-Chapter: Legacy from the Ancestors: Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 ...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;7;General Content;CompositeElement;908;General Content em página avançada (Falha na extração de título?);role in the formation, management, and protecmust guarantee the participation of Indigenous tion of biocultural landscap...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;7;General Content;CompositeElement;906;General Content em página avançada (Falha na extração de título?) | Densidade de espaços muito baixa (Palavras coladas?);3. Participation of Indigenous peoples and local communities: Amazonian countries are pluricultural democratic societies...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;8;General Content;CompositeElement;993;General Content em página avançada (Falha na extração de título?);Athayde S, Silva-Lugo J, Schmink M and Heckenberger M. 2017. The Same, but Different: Indigenous Knowledge Persistence a...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;8;General Content;CompositeElement;990;General Content em página avançada (Falha na extração de título?);Timeless Gardens: deep indigenous history and the making of biodiversity in the Amazon. In: Sanz N. 2018. Tropical Fores...
Part_I_Cap_02_Cross Chapter 2 Legacy from the Ancestors Amazonian Biocultural Landscapes and Global Sustainability in a Post-COVID-19 World.json;2;8;General Content;CompositeElement;629;General Content em página avançada (Falha na extração de título?);al. 2018. How People Domesticated Amazonian Forests. Frontiers in Ecology and Evolution 5:171. Neves EG and Heckenberger...
Part_I_Cap_02_Evolution of Amazonian Biodiversity.json;2;6;Abstract;CompositeElement;136;Densidade de espaços muito baixa (Palavras coladas?);Keywords: adaptation, biodiversity, biogeography, coevolution, conservation, ecology, extinction, Neotropics, speciation...
Part_I_Cap_02_Evolution of Amazonian Biodiversity.json;2;12;"Ma; see Chapter 1) had profound effects on Amazonian landscapes, impacting the diversification of bo";CompositeElement;27;Texto muito curto (Possível lixo de OCR);During the Quaternary (last
Part_I_Cap_03_Biological Diversity and Ecological Networks in the Amazon.json;3;6;Abstract;CompositeElement;156;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Biodiversity, species richness, endemism, fauna, flora, fauna, plant-animal interactions, migration, phylogene...
Part_I_Cap_04_Amazonian Ecosystems and Their Ecological Functions.json;4;6;Abstract;CompositeElement;163;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Amazonian ecosystems, aquatic ecosystems, forest dynamics, ecological features, ecosystem processes, interacti...
Part_I_Cap_04_Amazonian Ecosystems and Their Ecological Functions.json;4;18;Freshwater Wetlands;CompositeElement;28;Texto muito curto (Possível lixo de OCR);4.2.2.2. Freshwater Wetlands
Part_I_Cap_04_Amazonian Ecosystems and Their Ecological Functions.json;4;20;Ecosystem Functioning;CompositeElement;26;Texto muito curto (Possível lixo de OCR);4.3. Ecosystem Functioning
Part_I_Cap_04_Amazonian Ecosystems and Their Ecological Functions.json;4;30;Recommendations;CompositeElement;27;Texto muito curto (Possível lixo de OCR);Biogeosciences 8: 1081-106.
Part_I_Cap_06_Biogeochemical Cycles in the Amazon.json;6;12;East Tropical rainforest;CompositeElement;28;Texto muito curto (Possível lixo de OCR);0.8 East Tropical rainforest
Part_I_Cap_06_Biogeochemical Cycles in the Amazon.json;6;24;Tg CH4 y-1 Other wetlands;CompositeElement;29;Texto muito curto (Possível lixo de OCR);1.1 Tg CH4 y-1 Other wetlands
Part_I_Cap_06_Biogeochemical Cycles in the Amazon.json;6;25;Nitrous Oxide (N2O);CompositeElement;25;Texto muito curto (Possível lixo de OCR);6.4.2 Nitrous Oxide (N2O)
Part_I_Cap_06_Biogeochemical Cycles in the Amazon.json;6;26;Aerosols and Trace Gases;CompositeElement;28;Texto muito curto (Possível lixo de OCR);6.5 Aerosols and Trace Gases
Part_I_Cap_07_Biogeophysical Cycles Water Recycling, Climate Regulation.json;7;6;General Content;CompositeElement;388;General Content em página avançada (Falha na extração de título?);Regulation any duration in the transition months between the dry and the rainy seasons (Mar-Apr, Sep-Oct) when compared ...
Part_I_Cap_07_Biogeophysical Cycles Water Recycling, Climate Regulation.json;7;6;Orientation map. Biome map of South America, with main rivers and towns. Sources: WWF (https://www.w;CompositeElement;210;Densidade de espaços muito baixa (Palavras coladas?);7.1 Orientation map. Biome map of South America, with main rivers and towns. Sources: WWF (https://www.world (wildlife.o...
Part_I_Cap_07_Biogeophysical Cycles Water Recycling, Climate Regulation.json;7;14;Fraction of precipitation originating inside the Amazon Basin (contour in red), using MOD16 ET data;CompositeElement;27;Texto muito curto (Possível lixo de OCR);phenology in regulating ET.
Part_I_Cap_07_Biogeophysical Cycles Water Recycling, Climate Regulation.json;7;17;Temperature regulation;CompositeElement;28;Texto muito curto (Possível lixo de OCR);7.3.1 Temperature regulation
Part_I_Cap_08_Peoples of the Amazon Before European Colonization.json;8;17;Food plants recovered from archaeological sites in Amazonia during the Early, Middle, and Late Holoc;TableChunk;468;Densidade de espaços muito baixa (Palavras coladas?);Other/multiple uses Families: Heliconiaceae, Marantaceae, Moraceae, Solanaceae, Strelitziaceae, Zingiberaceae Families: ...
Part_I_Cap_09_Peoples of the Amazon and European Colonization (16th-18th Centuries).json;9;6;Abstract;CompositeElement;188;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Amazon 16th–18th centuries, explorations, cartography, colonial rule, cultural imposition, slavery, myths, epi...
